sample_id,max_bridge_temp_c,fault_code,fault_label,T1,T2,T3,Ia_original,Ib_original,IDC_original,Power_DC,Power_AC,Current_Imbalance,Temp_Diff_Max
90,12.396252,F0,normal_operation,10.577242,11.401305,12.396252,1.001955,-6.13392,-0.268817,7.595308,134.183773,-2.754717,1.81901
91,12.896552,F0,normal_operation,10.988746,11.401305,12.896552,0.953079,-6.036168,-0.317693,6.329423,56.964809,-2.72381,1.907806
92,12.229922,F0,normal_operation,10.577242,11.483951,12.229922,1.001955,-6.13392,-0.317693,13.924731,95.845552,-2.754717,1.652681
93,12.729561,F0,normal_operation,11.649381,11.401305,12.729561,1.001955,-6.085044,-0.268817,11.935484,94.941349,-2.761905,1.328256
94,12.396252,F0,normal_operation,10.659462,11.401305,12.396252,1.050831,-6.036168,-0.268817,5.42522,55.879765,-2.815534,1.73679
95,13.566886,F0,normal_operation,10.084713,11.401305,13.566886,1.050831,-5.987292,-0.219941,8.13783,55.337243,-2.823529,3.482174
96,12.396252,F0,normal_operation,10.577242,10.659462,12.396252,1.050831,-5.889541,-0.317693,11.392962,90.420332,-2.84,1.81901
97,12.396252,F0,normal_operation,10.577242,11.401305,12.396252,1.148583,-5.889541,-0.268817,7.595308,88.611926,-2.938776,1.81901
98,12.396252,F0,normal_operation,10.577242,11.483951,12.396252,1.050831,-5.987292,-0.268817,5.42522,55.337243,-2.823529,1.81901
99,12.396252,F0,normal_operation,10.659462,11.401305,12.396252,1.050831,-5.987292,-0.219941,6.329423,55.337243,-2.823529,1.73679
100,12.396252,F0,normal_operation,10.659462,11.649381,12.396252,1.099707,-5.938416,-0.464321,16.27566,90.420332,-2.88,1.73679
101,12.396252,F0,normal_operation,10.741722,11.483951,12.396252,1.050831,-6.036168,-0.219941,6.329423,93.132942,-2.815534,1.65453
102,12.396252,F0,normal_operation,10.577242,11.401305,12.396252,1.001955,-5.987292,-0.268817,7.595308,130.386119,-2.776699,1.81901
103,12.313061,F0,normal_operation,10.412917,11.401305,12.313061,1.050831,-6.036168,-0.268817,7.595308,93.132942,-2.815534,1.900144
104,12.396252,F0,normal_operation,10.659462,11.401305,12.396252,1.001955,-6.13392,-0.268817,5.42522,57.507331,-2.754717,1.73679
105,13.48288,F0,normal_operation,10.988746,11.401305,13.48288,1.099707,-6.085044,-0.317693,8.861193,93.132942,-2.854369,2.494134
106,12.396252,F0,normal_operation,10.577242,11.401305,12.396252,1.001955,-5.987292,-0.268817,9.765396,93.132942,-2.776699,1.81901
107,12.646151,F0,normal_operation,11.236149,11.401305,12.646151,0.953079,-6.085044,-0.268817,5.42522,57.507331,-2.716981,1.410001
108,12.396252,F0,normal_operation,10.659462,11.401305,12.396252,1.099707,-5.987292,-0.219941,8.13783,54.794721,-2.871287,1.73679
